column1,column2
3.049908447265630116e+02,8.342831639139110678e+01
3.038730926513670170e+02,8.325318538554560632e+01
3.026304931640630116e+02,8.306158420620039351e+01
3.014185485839839771e+02,8.288568177961769834e+01
2.997866058349609943e+02,8.232519771873110415e+01
2.989014587402339771e+02,8.206277933683369952e+01
